20100121080536R:A1510,0 15,  00000165, 1, 0, 1, 0
20100121080545R:A1510,0 15,  00000165, 9, 0, 1, 0
20100121080547R:U1500,0 15,  00001132, 0
20100121080547S:U1500,0 15,  00001132,00
20100121080550S:A1500,0015,  00001033,1, 0,00
20100121080556R:A1504,0 15,  00001132, 0, 0
20100121080556R:A1503,0 15,  00000165, 0, 0
20100121080557S:A1503,0015,  00000165,01,00
20100121080602R:U1500,0 15,  00000165, 0
20100121080602S:U1500,0 15,  00000165,00
20100121080636R:A1504,0 15,  00000165, 0, 0
20100121080646R:A1501,0 15,  00000136,0, 0
20100121080646R:A1510,0 15,  00000136, 1, 0, 0, 0
20100121080656R:A1510,0 15,  00000136, 9, 0, 0, 0
20100121080700R:A1503,0 15,  00000136, 0, 0
20100121080700S:A1503,0015,  00000136,01,00
20100121080704R:A1501,0 15,  00001115,0, 0
20100121080704R:A1510,0 15,  00001115, 1, 0, 1, 0
20100121080713R:A1510,0 15,  00001115, 9, 0, 1, 0
20100121080714S:A1500,0015,  00001003,1, 0,00
20100121080715R:U1500,0 15,  00000136, 0
20100121080715S:U1500,0 15,  00000136,00
20100121080724R:A1504,0 15,  00000136, 0, 0
20100121080724R:A1503,0 15,  00001115, 0, 0
20100121080725S:A1503,0015,  00001115,01,00
20100121080730R:U1500,0 15,  00001115, 0
20100121080730S:U1500,0 15,  00001115,00
20100121080738S:A1500,0015,  00001193,1, 0,00
20100121080804R:A1504,0 15,  00001115, 0, 0
20100121080920R:A1501,0 15,  00000087,0, 0
20100121080920R:A1510,0 15,  00000087, 1, 0, 0, 0
20100121080929R:A1510,0 15,  00000087, 9, 0, 0, 0
20100121080933R:A1503,0 15,  00000087, 0, 0
20100121080933S:A1503,0015,  00000087,01,00
20100121080939R:U1500,0 15,  00000087, 0
20100121080939S:U1500,0 15,  00000087,00
20100121080942R:A1504,0 15,  00000087, 0, 0
20100121080945S:A1500,0015,  00000135,1, 0,00
20100121081010S:A1500,0015,  00001106,1, 0,00
20100121081032S:A1500,0015,  00000103,1, 0,00
20100121081043S:A1500,0015,  00001043,1, 0,00
20100121081055S:A1500,0015,  00000053,1, 0,00
20100121081118S:A1500,0015,  00000102,1, 0,00
20100121081129S:A1500,0015,  00000183,1, 0,00
20100121081146S:A1500,0015,  00000134,1, 0,00
20100121081200S:A1500,0015,  00000071,1, 0,00
20100121081217S:A1500,0015,  00001148,1, 0,00
20100121081238S:A1500,0015,  00000096,1, 0,00
20100121081534R:A1501,0 15,  00001021,0, 0
20100121081534R:A1510,0 15,  00001021, 1, 0, 0, 0
20100121081543R:A1510,0 15,  00001021, 9, 0, 0, 0
20100121081547R:A1503,0 15,  00001021, 0, 0
20100121081548S:A1503,0015,  00001021,01,00
20100121081555R:A1501,0 15,  00001298,0, 0
20100121081555R:A1510,0 15,  00001298, 1, 0, 1, 0
20100121081604R:A1510,0 15,  00001298, 9, 0, 1, 0
20100121081606R:U1500,0 15,  00001021, 0
20100121081606S:U1500,0 15,  00001021,00
20100121081615R:A1504,0 15,  00001021, 0, 0
20100121081615R:A1503,0 15,  00001298, 0, 0
20100121081616S:A1503,0015,  00001298,01,00
20100121081627R:A1501,0 15,  00001286,0, 0
20100121081627R:A1510,0 15,  00001286, 1, 0, 1, 0
20100121081633R:U1500,0 15,  00001298, 0
20100121081633S:U1500,0 15,  00001298,00
20100121081636R:A1510,0 15,  00001286, 9, 0, 0, 0
20100121081655R:A1504,0 15,  00001298, 0, 0
20100121081655R:A1503,0 15,  00001286, 0, 0
20100121081656S:A1503,0015,  00001286,01,00
20100121081702R:U1500,0 15,  00001286, 0
20100121081702S:U1500,0 15,  00001286,00
20100121081735R:A1504,0 15,  00001286, 0, 0
20100121081744S:A1500,0015,  00001274,1, 0,00
20100121081754S:A1500,0015,  00000155,1, 0,00
20100121081810S:A1500,0015,  00000121,1, 0,00
20100121081901R:A1501,0 15,  00001131,0, 0
20100121081901R:A1510,0 15,  00001131, 1, 0, 0, 0
20100121081910R:A1510,0 15,  00001131, 9, 0, 0, 0
20100121081915R:A1503,0 15,  00001131, 0, 0
20100121081915S:A1503,0015,  00001131,01,00
20100121081923R:A1501,0 15,  00001033,0, 0
20100121081923R:A1510,0 15,  00001033, 1, 0, 1, 0
20100121081932R:A1510,0 15,  00001033, 9, 0, 1, 0
20100121081934R:U1500,0 15,  00001131, 0
20100121081934S:U1500,0 15,  00001131,00
20100121081943R:A1504,0 15,  00001131, 0, 0
20100121081943R:A1503,0 15,  00001033, 0, 0
20100121081944S:A1503,0015,  00001033,01,00
20100121081954R:A1501,0 15,  00000156,0, 0
20100121081954R:A1510,0 15,  00000156, 1, 0, 1, 0
20100121081959R:U1500,0 15,  00001033, 0
20100121081959S:U1500,0 15,  00001033,00
20100121082003R:A1510,0 15,  00000156, 9, 0, 0, 0
20100121082023R:A1504,0 15,  00001033, 0, 0
20100121082023R:A1503,0 15,  00000156, 0, 0
20100121082024S:A1503,0015,  00000156,01,00
20100121082034R:A1501,0 15,  00001220,0, 0
20100121082034R:A1510,0 15,  00001220, 1, 0, 1, 0
20100121082040R:U1500,0 15,  00000156, 0
20100121082040S:U1500,0 15,  00000156,00
20100121082043R:A1510,0 15,  00001220, 9, 0, 0, 0
20100121082102R:A1504,0 15,  00000156, 0, 0
20100121082103R:A1503,0 15,  00001220, 0, 0
20100121082103S:A1503,0015,  00001220,01,00
20100121082109R:U1500,0 15,  00001220, 0
20100121082109S:U1500,0 15,  00001220,00
20100121082111S:A1500,0015,  00001145,1, 0,00
20100121082128S:A1500,0015,  00001260,1, 0,00
20100121082140S:A1500,0015,  00000040,1, 0,00
20100121082142R:A1504,0 15,  00001220, 0, 0
20100121082156S:A1500,0015,  00000090,1, 0,00
20100121082529R:A1501,0 15,  00000134,0, 0
20100121082529R:A1510,0 15,  00000134, 1, 0, 0, 0
20100121082538R:A1510,0 15,  00000134, 9, 0, 0, 0
20100121082542R:A1503,0 15,  00000134, 0, 0
20100121082543S:A1503,0015,  00000134,01,00
20100121082545R:A1501,0 15,  00000071,0, 0
20100121082545R:A1510,0 15,  00000071, 1, 0, 1, 0
20100121082554R:A1510,0 15,  00000071, 9, 0, 1, 0
20100121082556R:U1500,0 15,  00000134, 0
20100121082556S:U1500,0 15,  00000134,00
20100121082606R:A1504,0 15,  00000134, 0, 0
20100121082606R:A1503,0 15,  00000071, 0, 0
20100121082607S:A1503,0015,  00000071,01,00
20100121082617R:A1501,0 15,  00001148,0, 0
20100121082617R:A1510,0 15,  00001148, 1, 0, 1, 0
20100121082623R:U1500,0 15,  00000071, 0
20100121082623S:U1500,0 15,  00000071,00
20100121082626R:A1510,0 15,  00001148, 9, 0, 0, 0
20100121082645R:A1504,0 15,  00000071, 0, 0
20100121082646R:A1503,0 15,  00001148, 0, 0
20100121082647S:A1503,0015,  00001148,01,00
20100121082658R:A1501,0 15,  00001003,0, 0
20100121082658R:A1510,0 15,  00001003, 1, 0, 1, 0
20100121082703R:U1500,0 15,  00001148, 0
20100121082703S:U1500,0 15,  00001148,00
20100121082707R:A1510,0 15,  00001003, 9, 0, 0, 0
20100121082725R:A1504,0 15,  00001148, 0, 0
20100121082726R:A1503,0 15,  00001003, 0, 0
20100121082727S:A1503,0015,  00001003,01,00
20100121082734S:A1500,0015,  00001001,1, 0,00
20100121082738R:A1501,0 15,  00001193,0, 0
20100121082738R:A1510,0 15,  00001193, 1, 0, 1, 0
20100121082743R:U1500,0 15,  00001003, 0
20100121082743S:U1500,0 15,  00001003,00
20100121082745S:A1500,0015,  00000066,1, 0,00
20100121082747R:A1510,0 15,  00001193, 9, 0, 0, 0
20100121082805R:A1504,0 15,  00001003, 0, 0
20100121082805R:A1503,0 15,  00001193, 0, 0
20100121082806S:A1503,0015,  00001193,01,00
20100121082812R:U1500,0 15,  00001193, 0
20100121082812S:U1500,0 15,  00001193,00
20100121082845R:A1504,0 15,  00001193, 0, 0
20100121082857R:A1501,0 15,  00000135,0, 0
20100121082857R:A1510,0 15,  00000135, 1, 0, 0, 0
20100121082905S:A1500,0015,  00001016,1, 0,00
20100121082906R:A1510,0 15,  00000135, 9, 0, 0, 0
20100121082911R:A1503,0 15,  00000135, 0, 0
20100121082911S:A1503,0015,  00000135,01,00
20100121082919R:A1501,0 15,  00001106,0, 0
20100121082919R:A1510,0 15,  00001106, 1, 0, 1, 0
20100121082920S:A1500,0015,  00000147,1, 0,00
20100121082925R:U1500,0 15,  00000135, 0
20100121082925S:U1500,0 15,  00000135,00
20100121082928R:A1504,0 15,  00000135, 0, 0
20100121082928R:A1510,0 15,  00001106, 9, 0, 0, 0
20100121082935R:A1503,0 15,  00001106, 0, 0
20100121082937S:A1500,0015,  00000033,1, 0,00
20100121082937S:A1503,0015,  00001106,01,00
20100121082938R:A1501,0 15,  00001043,0, 0
20100121082938R:A1510,0 15,  00001043, 1, 0, 1, 0
20100121082947R:A1510,0 15,  00001043, 9, 0, 1, 0
20100121082949R:U1500,0 15,  00001106, 0
20100121082949S:U1500,0 15,  00001106,00
20100121083007R:A1504,0 15,  00001106, 0, 0
20100121083007R:A1503,0 15,  00001043, 0, 0
20100121083015S:A1503,0015,  00001043,01,00
20100121083019R:A1501,0 15,  00000103,0, 0
20100121083019R:A1510,0 15,  00000103, 1, 0, 1, 0
20100121083028R:A1510,0 15,  00000103, 9, 0, 1, 0
20100121083030R:U1500,0 15,  00001043, 0
20100121083030S:U1500,0 15,  00001043,00
20100121083040R:A1504,0 15,  00001043, 0, 0
20100121083041R:A1503,0 15,  00000103, 0, 0
20100121083053R:A1501,0 15,  00000053,0, 0
20100121083053R:A1510,0 15,  00000053, 1, 0, 1, 0
20100121083102R:A1510,0 15,  00000053, 9, 0, 1, 0
20100121083102S:A1503,0015,  00000103,01,00
20100121083108R:U1500,0 15,  00000103, 0
20100121083108S:U1500,0 15,  00000103,00
20100121083120R:A1504,0 15,  00000103, 0, 0
20100121083121R:A1503,0 15,  00000053, 0, 0
20100121083133R:A1501,0 15,  00000183,0, 0
20100121083133R:A1510,0 15,  00000183, 1, 0, 1, 0
20100121083142R:A1510,0 15,  00000183, 9, 0, 1, 0
20100121083149S:A1503,0015,  00000053,01,00
20100121083154S:A1500,0015,  00000131,1, 0,00
20100121083155R:U1500,0 15,  00000053, 0
20100121083155S:U1500,0 15,  00000053,00
20100121083158R:A1504,0 15,  00000053, 0, 0
20100121083158R:A1503,0 15,  00000183, 0, 0
20100121083218S:A1500,0015,  00000107,1, 0,00
20100121083223S:A1503,0015,  00000183,01,00
20100121083227R:A1501,0 15,  00000102,0, 0
20100121083227R:A1510,0 15,  00000102, 1, 0, 1, 0
20100121083229S:A1500,0015,  00001005,1, 0,00
20100121083236R:A1510,0 15,  00000102, 9, 0, 1, 0
20100121083238R:U1500,0 15,  00000183, 0
20100121083238S:U1500,0 15,  00000183,00
20100121083248R:A1504,0 15,  00000183, 0, 0
20100121083248R:A1503,0 15,  00000102, 0, 0
20100121083308S:A1503,0015,  00000102,01,00
20100121083310S:A1500,0015,  00000194,1, 0,00
20100121083313R:U1500,0 15,  00000102, 0
20100121083313S:U1500,0 15,  00000102,00
20100121083322S:A1500,0015,  00000142,1, 0,00
20100121083327R:A1504,0 15,  00000102, 0, 0
20100121083335S:A1500,0015,  00000038,1, 0,00
20100121083404S:A1500,0015,  00001139,1, 0,00
20100121083610R:A1501,0 15,  00000096,0, 0
20100121083610R:A1510,0 15,  00000096, 1, 0, 0, 0
20100121083619R:A1510,0 15,  00000096, 9, 0, 0, 0
20100121083623R:A1503,0 15,  00000096, 0, 0
20100121083624S:A1503,0015,  00000096,01,00
20100121083627R:A1501,0 15,  00000090,0, 0
20100121083627R:A1510,0 15,  00000090, 1, 0, 1, 0
20100121083636R:A1510,0 15,  00000090, 9, 0, 1, 0
20100121083638R:U1500,0 15,  00000096, 0
20100121083638S:U1500,0 15,  00000096,00
20100121083647R:A1504,0 15,  00000096, 0, 0
20100121083647R:A1503,0 15,  00000090, 0, 0
20100121083648S:A1503,0015,  00000090,01,00
20100121083654R:U1500,0 15,  00000090, 0
20100121083654S:U1500,0 15,  00000090,00
